# m MJD offset
# Subtract offset as function of MJD in each order m. Missing m means no calibration available
67 58629.392378 2.321596
67 58629.400628 3.036010
67 58629.409671 3.331214
67 58629.416678 3.444718
67 58629.425033 4.047208
67 58629.434245 4.318937
67 58629.448482 4.853961
67 58629.465691 4.963536
67 58629.475215 4.506041
67 58629.511439 -1.954581
67 58629.518957 -3.331711
67 58629.525744 -4.516824
67 58629.588451 -3.621769
67 58629.592710 -3.410137
67 58629.597126 -3.282193
67 58629.602319 -3.251518
67 58629.609738 -2.964133
67 58629.665744 -1.110005
67 58629.735640 -3.672484
67 58629.749219 -3.474900
67 58629.770368 -2.846553
67 58629.780931 -2.430681
67 58629.785425 -2.414482
67 58629.800502 -2.100163
67 58629.805498 -2.142590
67 58629.811637 -2.211999
67 58629.850631 -1.729248
67 58630.399283 -0.514234
67 58630.402729 -0.970267
67 58630.407692 -1.689554
67 58630.417078 -2.555499
67 58630.435573 -4.113143
67 58630.445414 -4.351734
67 58630.450670 -4.619416
67 58630.461025 -3.291435
67 58630.481224 -0.653210
67 58630.488489 0.093644
67 58630.525846 3.395888
67 58630.590774 -0.110806
67 58630.606636 -0.122692
67 58630.618596 -0.155121
67 58630.621454 -0.439592
67 58630.625238 -0.636440
67 58630.629503 -1.011292
67 58630.641898 -1.879419
67 58630.656857 -2.889859
67 58630.662991 -3.439790
67 58630.667924 -3.598590
67 58630.731943 -1.158359
67 58630.733576 -1.045202
67 58630.736031 -0.816598
67 58630.738476 -0.702741
67 58630.740639 -0.579594
67 58630.742949 -0.386931
67 58630.747780 -0.238315
67 58631.257247 -2.615372
67 58631.331080 -3.015161
67 58631.373977 -0.251654
67 58631.380860 -0.202215
67 58631.395926 -0.382732
67 58631.412149 -0.794695
67 58631.417117 -1.073918
67 58631.512480 -3.382931
67 58631.578843 -1.891940
67 58631.614857 0.050958
67 58631.658413 -3.402178
67 58631.767028 0.415534
67 58634.306508 -3.836754
67 58634.353041 4.280867
67 58634.358999 4.365355
67 58634.374424 4.509921
67 58634.385301 3.478111
67 58634.468848 -5.576196
67 58634.615461 -0.543607
67 58634.630512 -1.088037
67 58634.647665 -1.458067
67 58634.653914 -1.773768
67 58634.685456 -3.224624
67 58634.705055 -4.779575
67 58634.707808 -5.164087
67 58634.752607 -3.289343
67 58634.762628 -2.605556
67 58634.768747 -2.229477
67 58634.803601 -2.402965
67 58634.839880 -0.935668
67 58635.253243 -10.295453
67 58635.305166 -15.065235
67 58635.342096 -1.677553
67 58635.352308 -1.367477
67 58635.367683 -0.909066
67 58635.373726 -1.503787
67 58635.479167 0.057166
67 58635.517309 -3.422404
67 58635.520713 -3.679145
67 58635.535624 -4.514631
67 58635.610263 -7.141446
67 58635.616130 -7.113517
67 58635.620821 -7.119951
67 58635.632115 -6.579460
67 58635.639515 -5.824432
67 58635.650183 -5.590701
67 58635.657100 -5.057560
67 58635.663236 -4.199592
67 58635.709977 -4.779630
67 58635.740208 -5.923054
67 58636.299607 -2.561128
67 58636.404067 2.279522
67 58636.494209 2.769674
67 58636.502786 2.226088
67 58636.529133 1.319023
67 58636.533846 1.049053
67 58636.540477 0.930791
67 58636.567557 1.019926
67 58636.576817 1.042062
67 58636.715636 -5.337664
67 58637.267824 -2.925775
67 58638.222863 -2.901984
67 58638.354231 -4.142606
67 58638.428261 1.899604
67 58638.433104 0.743738
67 58638.438478 0.202373
67 58638.441947 -0.174534
67 58638.458547 -1.107373
67 58638.484403 -1.314156
67 58638.500668 -1.482693
67 58638.504487 -1.676858
67 58638.513552 -2.337208
67 58638.518576 -2.883532
67 58638.523913 -3.239751
67 58638.526472 -3.477585
67 58638.531769 -4.077845
67 58638.578273 -1.962757
67 58638.581206 -1.765262
67 58638.589326 -1.322556
67 58638.592135 -1.093826
67 58638.595763 -0.653806
67 58638.600941 -0.493153
67 58638.623231 0.732079
67 58638.630841 0.927380
67 58638.693026 -6.891190
67 58638.701347 -6.243139
67 58638.728579 -4.381198
67 58638.741206 -3.479521
67 58638.748760 -3.223824
67 58638.752905 -3.024527
67 58638.765752 -2.624092
67 58638.770534 -2.594675
67 58638.788087 -2.512957
67 58638.798760 -1.869060
67 58638.806500 -1.451401
67 58638.818259 -1.459603
67 58638.822432 -1.280300
67 58638.829684 -0.775102
67 58639.340240 -3.254869
67 58639.343633 -2.750898
67 58639.361543 -1.614895
67 58639.375211 -0.987160
67 58639.379707 -0.945058
67 58639.385092 -0.773768
67 58639.392431 -0.512867
67 58639.403380 -1.393210
67 58639.413247 -1.305142
